skos:prefLabel	skos:definition	rdf:type	skos:altLabel	skos:hiddenLabel	skos:narrower	skos:broader	skos:scopeNote	skos:changeNote
Office des Lectures	Office liturgique composé principalement de psaumes et de longues lectures bibliques et patristiques, pouvant être célébré à tout moment du jour ou de la nuit. Appelé autrefois « matines », cet office a une vocation de méditation et d’approfondissement spirituel.	skos:Concept	Matines##Office de méditation##Office nocturne					
Abrégé (orgue)	Terme de facture d'orgue ; c'est un mécanisme qui, par l'assemblage des rouleaux, transporte aux soupapes des sommiers respectifs le mouvement des touches du clavier. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accords consonnants	Les accords consonnants sont ceux qui ne se composent que des intervalles agréables appelés consonnances, et qui peuvent toujours être attaqués sans préparation. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accords dérivés	Accords tirés des fondamentaux et dans lesquels on ne dispose pas les sons dans l'ordre le plus direct. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accords dissonants	Les accords dissonants sont ceux qui procurent à l'oreille une sensation mois satisfaisante que les accords consonnants, qui se composent de dissonances (voyez ce mot), et qui, le plus souvent, ne peuvent s'attaquer sans préparation. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accords fondamentaux	Les accords fondamentaux sont ceux dans lesquels on dispose les sons dans l'ordre le plus simple, c'est-à-dire à la tierce l'un de l'autre. Il n'y en a que deux dans un ton donné : l' accord par fait sur la tonique et l'accord de dominante. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accord parfait	Il est composé de la tonique, de la tierce majeure ou mineure et de sa quinte. C'est le plus doux à l'oreille, et le seul qui donne le sentiment d'une conclusion harmonique. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accord de dominante	Il est composé de la dominante, de sa tierce, de sa quinte et de sa septième. La dissonance et les attractions multipliées qu'il renferme lui donnent l'expression du mouvement. (Voyez le mot HARMONIE.) (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
Accouplement	Mécanisme adapté à l'orgue ou au clavecin qui permet d'actionner simultanément les touches de plusieurs claviers. (Benoit, Marcelle (dir.) (1992). Dictionnaire de la musique en France aux XVIIe et XVIIe siècles. Fayard.)	skos:Concept						
Adagio	L'adagio est un mouvement un peu moins lent que le larghetto. Le mot adagio se prend quelquefois substantivement et s'applique par métaphore aux morceaux de musique dont il détermine le mouvement ; ainsi l'on dira : un adagio de Boccherini, Baillot exécutait très-bien l'adagio, etc. (Escudier, Léon et Marie (1872). Dictionnaire de musique théorique et historique (5e éd.). E. Dentu.)	skos:Concept						
